OSM_ID;BUILDING;A_STRT;A_SBRB;A_HSNMBR;B_LEVELS;NAME
133487377;yes;Право-Булачная улица;;49;;Luciano Residence Kazan
99684048;university;улица Татарстан;;2;4;Институт филологии и межкультурной коммуникации КФУ
186448871;yes;улица Баумана;;27;;
-2509291;yes;улица Баумана;;27;;
227222904;apartments;улица Некрасова;;9;8;
91856475;yes;улица Карла Маркса;;12А;2;
103455155;dormitory;улица Пушкина;;32А;;Общежитие №8 КФУ
227222900;yes;;;;;PepperMint
143566122;yes;улица Япеева;;8/2;4;
119437966;synagogue;Профсоюзная улица;;15;;Хабад Любавич
133487380;yes;улица Островского;;22;;
103806788;yes;;;;2;
90155395;yes;Право-Булачная улица;;7;;
119437967;yes;улица Кави Наджми;;20;;
322508777;yes;;;;;
-1345512;yes;улица Бурхана Шахиди;;17;;
92033626;yes;улица Бурхана Шахиди;;17;;
99325956;yes;улица Островского;;25;;
90161962;church;;;;2;Церковь Николы Ратного
